name,comm_cost,complexity,type
explored-179,0.5744212962962965,13,explored
explored-180,0.5716319444444447,9,explored
explored-181,0.5070833333333336,22,explored
explored-182,0.4574652777777779,20,explored
explored-183,0.8153125000000001,6,explored
explored-184,0.2542534722222225,22,explored
explored-185,0.4730902777777779,13,explored
explored-186,0.23726851851851882,24,explored
explored-187,0.5928819444444446,8,explored
explored-188,0.2875000000000002,15,explored
explored-189,0.33946759259259285,19,explored
explored-190,0.49583333333333335,9,explored
explored-191,0.2250000000000003,15,explored
explored-192,0.3381944444444447,16,explored
explored-193,0.4398437500000002,18,explored
explored-194,0.7090625,6,explored
explored-195,0.5488368055555557,19,explored
explored-196,0.400260416666667,16,explored
explored-197,0.6582754629629631,14,explored
explored-198,0.6250000000000001,7,explored
explored-199,0.4194155092592595,18,explored
explored-200,0.5713541666666668,12,explored
explored-201,0.455902777777778,16,explored
explored-202,0.26284722222222245,19,explored
explored-203,0.6917824074074075,24,explored
explored-204,0.41432291666666676,21,explored
explored-205,0.6955729166666668,8,explored
explored-206,0.6796875000000001,9,explored
explored-207,0.6869247685185186,36,explored
explored-208,0.4391666666666669,9,explored
explored-209,0.6734953703703703,14,explored
explored-210,0.6169270833333333,11,explored
explored-211,0.3875000000000004,11,explored
explored-212,0.2426504629629631,22,explored
explored-213,0.6946875000000001,3,explored
explored-214,0.7340769675925927,32,explored
explored-215,0.550607638888889,16,explored
explored-216,0.4885763888888891,19,explored
explored-217,0.7708333333333333,5,explored
explored-218,0.15937500000000027,11,explored
explored-219,0.5895833333333333,13,explored
explored-220,0.348090277777778,22,explored
explored-221,0.7140277777777778,9,explored
explored-222,0.595138888888889,9,explored
explored-223,0.5755208333333335,13,explored
explored-224,0.37213541666666683,18,explored
explored-225,0.19114583333333357,14,explored
explored-226,0.7897916666666667,5,explored
explored-227,0.4035590277777781,19,explored
explored-228,0.410416666666667,6,explored
explored-229,0.38972800925925943,28,explored
explored-230,0.2542245370370373,17,explored
explored-231,0.6187500000000001,11,explored
explored-232,0.45274884259259296,18,explored
explored-233,0.5868055555555556,15,explored
explored-234,0.3031250000000003,15,explored
explored-235,0.5327256944444445,16,explored
explored-236,0.5177430555555557,23,explored
explored-237,0.6881944444444446,10,explored
explored-238,0.5145833333333335,14,explored
explored-239,0.5434953703703705,22,explored
explored-240,0.6078125000000002,12,explored
explored-241,0.427242476851852,21,explored
explored-242,0.721238425925926,13,explored
explored-243,0.6546267361111112,12,explored
explored-244,0.72875,9,explored
explored-245,0.7077199074074074,16,explored
explored-246,0.6403645833333335,15,explored
explored-247,0.40740740740740766,18,explored
explored-248,0.4569444444444446,17,explored
explored-249,0.4583333333333337,9,explored
explored-250,0.4409722222222221,9,explored
explored-251,0.6289930555555557,11,explored
explored-252,0.6460069444444446,17,explored
explored-253,0.6008680555555557,10,explored
explored-254,0.44635416666666683,16,explored
explored-255,0.76484375,10,explored
explored-256,0.10520833333333357,13,explored
explored-257,0.5991319444444445,8,explored
explored-258,0.5093750000000001,13,explored
explored-259,0.30486111111111125,14,explored
explored-260,0.3888888888888893,12,explored
explored-261,0.81625,3,explored
explored-262,0.5827546296296298,12,explored
explored-263,0.4779513888888891,16,explored
explored-264,0.5994791666666668,8,explored
explored-265,0.33611111111111125,18,explored
explored-266,0.5916666666666669,9,explored
explored-267,0.6443836805555556,15,explored
explored-268,0.20416666666666705,11,explored
explored-269,0.7925,4,explored
explored-270,0.45933449074074095,18,explored
explored-271,0.7337499999999999,7,explored
explored-272,0.5549479166666668,13,explored
explored-273,0.44409722222222237,19,explored
explored-274,0.6666666666666667,16,explored
explored-275,0.4243055555555557,13,explored
explored-276,0.6067187500000002,10,explored
explored-277,0.4678240740740742,14,explored
explored-278,0.28237847222222257,21,explored
explored-279,0.6309027777777779,12,explored
explored-280,0.4930555555555558,8,explored
explored-281,0.7312534722222223,22,explored
explored-282,0.7129166666666668,5,explored
explored-283,0.3510416666666669,7,explored
explored-284,0.756857638888889,14,explored
explored-285,0.6383969907407409,9,explored
explored-286,0.47226562500000013,23,explored
explored-287,0.6101562500000002,15,explored
explored-288,0.3973958333333336,13,explored
explored-289,0.7447916666666667,9,explored
explored-290,0.7596354166666668,4,explored
explored-291,0.25798611111111125,17,explored
explored-292,0.4009114583333335,14,explored
explored-293,0.4008391203703705,22,explored
explored-294,0.29699074074074083,20,explored
explored-295,0.6958333333333333,17,explored
explored-296,0.7174131944444445,20,explored
explored-297,0.28958333333333364,18,explored
explored-298,0.6465972222222224,10,explored
explored-299,0.6848958333333335,15,explored
