index,term_expression,original_index
1660,"and(not(equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), B), difference(B, A)))",1663
1661,"and(subset_eq(A, difference(A, B)), subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B))))",365
1662,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), difference(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",9078
1663,"or(and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(B), A)))",3449
1664,"subset_eq(index(cardinality(difference(A, B)), A), difference(A, index(cardinality(B), union(A, B))))",8606
1665,"subset_eq(intersection(A, index(cardinality(A), union(A, B))), index(cardinality(B), difference(A, B)))",4911
1666,"subset_eq(index(cardinality(difference(B, A)), index(cardinality(B), A)), difference(difference(A, B), index(cardinality(B), difference(A, B))))",9508
1667,"subset_eq(index(cardinality(B), union(difference(A, B), difference(B, A))), difference(union(A, B), index(cardinality(A), union(A, B))))",8366
1668,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), union(A, B)))",7742
1669,"subset_eq(index(cardinality(intersection(A, B)), index(cardinality(B), union(A, B))), intersection(B, index(cardinality(A), union(A, B))))",9367
1670,"subset_eq(index(cardinality(difference(A, B)), B), difference(B, index(cardinality(B), A)))",8664
1671,"subset_eq(difference(B, index(cardinality(A), difference(B, A))), index(cardinality(difference(A, B)), A))",7403
1672,"subset_eq(difference(union(A, B), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), B))",7452
1673,"and(or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",1013
1674,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), A)",5512
1675,"and(not(or(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",507
1676,"or(subset_eq(intersection(A, B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))))",4448
1677,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), B))",7764
1678,"or(subset_eq(A, index(cardinality(A), B)), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",4086
1679,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), difference(index(cardinality(A), B), A))",8154
1680,"and(subset_eq(difference(A, B), index(cardinality(A), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",2069
1681,"subset_eq(intersection(A, index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), B))",6936
1682,"and(or(subset_eq(A, B), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), B), difference(B, A)))",757
1683,"subset_eq(index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))), union(index(cardinality(B), A), index(cardinality(A), union(A, B))))",9466
1684,"subset_eq(index(cardinality(A), union(A, B)), difference(intersection(A, B), index(cardinality(B), A)))",2505
1685,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(difference(B, A)), union(A, B)))",9340
1686,"or(subset_eq(index(cardinality(A), difference(B, A)), A), subset_eq(index(cardinality(B), union(A, B)), A))",4567
1687,"or(subset_eq(index(cardinality(A), union(A, B)), difference(B, A)), subset_eq(index(cardinality(B), union(A, B)), difference(B, A)))",4905
1688,"and(equals(cardinality(A), cardinality(B)), not(subset_eq(A, difference(A, A))))",374
1689,"subset_eq(difference(index(cardinality(A), union(A, B)), A), index(cardinality(difference(B, A)), B))",7105
1690,"or(or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",3923
1691,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",9289
1692,"and(subset_eq(index(cardinality(A), B), A), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",2203
1693,"subset_eq(index(cardinality(B), union(difference(A, B), difference(B, A))), index(cardinality(difference(B, A)), difference(A, B)))",8387
1694,"or(and(subset_eq(B, A), not(subset_eq(A, B))), equals(cardinality(A), cardinality(difference(B, A))))",3226
1695,"subset_eq(union(intersection(A, B), index(cardinality(A), union(A, B))), difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",5804
1696,"or(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), equals(cardinality(A), cardinality(difference(B, A))))",3674
1697,"and(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",2746
1698,"and(subset_eq(index(cardinality(B), union(A, B)), B), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",2378
1699,"subset_eq(intersection(index(cardinality(B), A), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), difference(A, B)))",7222
1700,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(difference(A, A)), difference(B, A)))",9337
1701,"and(or(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(difference(B, A), index(cardinality(A), B)))",1369
1702,"subset_eq(index(cardinality(A), union(A, B)), difference(difference(B, A), index(cardinality(A), B)))",5403
1703,"subset_eq(difference(B, index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), B))",7415
1704,"or(subset_eq(intersection(A, B), index(cardinality(B), A)), subset_eq(index(cardinality(B), union(A, B)), B))",4390
1705,"or(subset_eq(A, difference(A, B)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3028
1706,"and(subset_eq(index(cardinality(A), union(A, B)), B), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",2298
1707,"subset_eq(difference(index(cardinality(B), union(A, B)), intersection(A, B)), index(cardinality(intersection(A, B)), difference(A, B)))",7187
1708,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",3579
1709,"subset_eq(index(cardinality(B), union(A, B)), difference(A, index(cardinality(A), B)))",2349
1710,"or(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",4492
1711,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(A), B)))",3545
1712,"and(and(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), A))",606
1713,"and(subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2729
1714,"and(subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",2768
1715,"or(subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)), equals(cardinality(A), cardinality(difference(B, A))))",5128
1716,"subset_eq(index(cardinality(intersection(A, B)), difference(A, B)), union(index(cardinality(B), A), index(cardinality(A), union(A, B))))",8875
1717,"subset_eq(union(intersection(A, B), index(cardinality(B), union(A, B))), difference(difference(B, A), index(cardinality(A), B)))",5633
1718,"or(subset_eq(intersection(A, B), index(cardinality(A), B)), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",4379
1719,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",6730
1720,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), intersection(B, index(cardinality(B), union(A, B))))",9045
1721,"subset_eq(index(cardinality(difference(A, A)), A), index(cardinality(difference(B, A)), B))",8526
1722,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), union(A, B)))",6830
1723,"not(subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",5229
1724,"or(subset_eq(A, index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), B))",4131
1725,"and(not(subset_eq(union(A, B), difference(A, A))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",1868
1726,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",8191
1727,"subset_eq(union(difference(A, B), index(cardinality(A), difference(B, A))), index(cardinality(B), union(A, B)))",2078
1728,"and(subset_eq(index(cardinality(B), A), B), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",2226
1729,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), difference(A, B)))",6723
1730,"and(or(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(index(cardinality(A), difference(B, A)), A))",880
1731,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(difference(B, A)), difference(A, B)))",9449
1732,"and(subset_eq(difference(A, B), index(cardinality(A), union(A, B))), greater_than(cardinality(A), cardinality(difference(B, A))))",2071
1733,"and(subset_eq(index(cardinality(A), union(A, B)), difference(B, A)), greater_than(cardinality(B), cardinality(difference(A, B))))",2567
1734,"and(or(subset_eq(B, A), equals(cardinality(A), cardinality(B))), subset_eq(intersection(A, B), index(cardinality(B), A)))",980
1735,"and(not(subset_eq(B, A)), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",319
1736,"subset_eq(index(cardinality(intersection(A, B)), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), B))",9373
1737,"and(not(subset_eq(B, A)), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",325
1738,"or(subset_eq(intersection(A, B), index(cardinality(A), B)), subset_eq(index(cardinality(B), union(A, B)), difference(A, B)))",4355
1739,"and(or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), A))",1405
1740,"or(subset_eq(B, index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), A))",4297
1741,"or(or(subset_eq(B, A), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",3731
1742,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), union(difference(A, B), index(cardinality(A), B)))",9027
1743,"or(or(subset_eq(B, A), subset_eq(A, difference(A, A))), greater_than(cardinality(difference(A, B)), cardinality(B)))",772
1744,"or(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), not(subset_eq(A, difference(A, B))))",3660
1745,"or(or(not(subset_eq(B, A)), subset_eq(A, difference(A, A))), greater_than(cardinality(difference(A, B)), cardinality(B)))",3822
1746,"subset_eq(difference(index(cardinality(A), union(A, B)), intersection(A, B)), index(cardinality(difference(A, A)), difference(A, B)))",7153
1747,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",9342
1748,"not(subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",5237
1749,"subset_eq(index(cardinality(intersection(A, B)), B), difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",8480
1750,"subset_eq(intersection(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), A))",7033
1751,"subset_eq(union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), union(index(cardinality(A), B), index(cardinality(B), A)))",6841
1752,"subset_eq(difference(B, index(cardinality(A), B)), index(cardinality(difference(A, A)), B))",7345
1753,"subset_eq(union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), difference(difference(B, A), index(cardinality(A), difference(B, A))))",6859
1754,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), difference(index(cardinality(A), union(A, B)), A))",9178
1755,"or(or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))))",3774
1756,"or(equals(cardinality(A), cardinality(B)), subset_eq(A, index(cardinality(B), A)))",3057
1757,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), difference(A, index(cardinality(A), union(A, B))))",9053
1758,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(A, B)), index(cardinality(A), difference(B, A))))",6729
1759,"and(not(equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), B)))",1678
1760,"subset_eq(intersection(B, index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), index(cardinality(B), union(A, B))))",3492
1761,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), difference(B, index(cardinality(A), B)))",8248
1762,"subset_eq(union(B, index(cardinality(B), A)), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",5693
1763,"and(greater_than(cardinality(B), cardinality(A)), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",454
1764,"or(and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A))), equals(cardinality(A), cardinality(difference(B, A))))",3372
1765,"subset_eq(index(cardinality(difference(A, A)), A), union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",8510
1766,"and(not(subset_eq(A, difference(A, A))), subset_eq(A, index(cardinality(A), union(A, B))))",1695
1767,"and(subset_eq(difference(A, B), index(cardinality(B), A)), subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",2043
1768,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, A)), intersection(A, B)))",7961
1769,"or(not(subset_eq(B, A)), subset_eq(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",2957
1770,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), index(cardinality(difference(B, A)), union(A, B)))",6185
1771,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(index(cardinality(B), union(A, B)), A))",6680
1772,"or(subset_eq(index(cardinality(A), union(A, B)), A), subset_eq(index(cardinality(A), B), index(cardinality(A), union(A, B))))",4740
1773,"or(subset_eq(intersection(A, B), index(cardinality(B), A)), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",4421
1774,"or(greater_than(cardinality(A), cardinality(B)), subset_eq(index(cardinality(A), union(A, B)), difference(A, B)))",3133
1775,"and(not(subset_eq(B, difference(A, A))), subset_eq(index(cardinality(B), union(A, B)), difference(A, B)))",1821
1776,"subset_eq(difference(index(cardinality(A), union(A, B)), intersection(A, B)), index(cardinality(intersection(A, B)), index(cardinality(A), B)))",7157
1777,"or(or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",3900
1778,"subset_eq(index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))), difference(A, index(cardinality(B), difference(A, B))))",9476
1779,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(difference(A, B)), difference(B, A)))",9447
1780,"subset_eq(intersection(A, index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",6911
1781,"or(greater_than(cardinality(A), cardinality(B)), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",3151
1782,"subset_eq(union(difference(A, B), index(cardinality(A), difference(B, A))), index(cardinality(B), union(difference(A, B), difference(B, A))))",5975
1783,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), difference(B, A)))",6296
1784,"and(subset_eq(index(cardinality(B), A), B), equals(cardinality(B), cardinality(difference(A, B))))",2233
1785,"and(or(subset_eq(B, difference(A, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), difference(A, B)), B))",1557
1786,"or(subset_eq(A, difference(A, B)), subset_eq(A, index(cardinality(A), B)))",697
1787,"subset_eq(index(cardinality(A), union(A, B)), difference(B, index(cardinality(B), union(A, B))))",5396
1788,"and(equals(cardinality(A), cardinality(B)), or(not(subset_eq(A, B)), subset_eq(A, difference(A, A))))",373
1789,"and(subset_eq(index(cardinality(A), union(A, B)), B), subset_eq(index(cardinality(B), union(A, B)), difference(B, A)))",2287
1790,"subset_eq(difference(difference(A, B), index(cardinality(B), A)), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",7559
1791,"or(not(equals(cardinality(A), cardinality(B))), subset_eq(intersection(A, B), index(cardinality(A), union(A, B))))",4031
1792,"or(and(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(intersection(A, B), index(cardinality(A), union(A, B))))",3224
1793,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(A), B)), index(cardinality(difference(A, B)), A))",7716
1794,"and(not(subset_eq(B, difference(A, A))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",1820
1795,"subset_eq(union(A, index(cardinality(A), difference(B, A))), index(cardinality(difference(A, A)), A))",5660
1796,"subset_eq(union(intersection(A, B), index(cardinality(B), A)), union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",5758
1797,"or(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",5096
1798,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), difference(difference(A, B), index(cardinality(B), difference(A, B))))",7984
1799,"subset_eq(union(difference(A, B), index(cardinality(A), difference(B, A))), index(cardinality(intersection(A, B)), union(A, B)))",5981
1800,"or(or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",3793
1801,"or(greater_than(cardinality(B), cardinality(A)), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",3175
1802,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), intersection(intersection(A, B), index(cardinality(B), union(A, B))))",6676
1803,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",7969
1804,"and(or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), A))",1572
1805,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), A)), difference(index(cardinality(B), union(A, B)), B))",7886
1806,"subset_eq(intersection(B, index(cardinality(A), union(A, B))), index(cardinality(difference(B, A)), B))",6977
1807,"and(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",804
1808,"and(not(subset_eq(B, A)), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",312
1809,"and(subset_eq(difference(B, A), index(cardinality(A), union(A, B))), equals(cardinality(A), cardinality(difference(B, A))))",2128
1810,"or(subset_eq(index(cardinality(A), B), A), greater_than(cardinality(difference(B, A)), cardinality(A)))",4706
1811,"or(subset_eq(difference(B, A), index(cardinality(A), B)), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",4615
1812,"and(or(not(subset_eq(A, B)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B))))",1262
1813,"or(subset_eq(B, index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",4302
1814,"subset_eq(B, index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",5272
1815,"or(subset_eq(index(cardinality(A), union(A, B)), difference(A, B)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4899
1816,"and(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",1479
1817,"or(subset_eq(B, index(cardinality(A), B)), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",4209
1818,"or(subset_eq(intersection(A, B), index(cardinality(B), A)), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",4408
1819,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)), index(cardinality(B), union(difference(A, B), difference(B, A))))",7862
1820,"subset_eq(index(cardinality(B), A), index(cardinality(difference(A, A)), B))",5377
1821,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), difference(index(cardinality(A), union(A, B)), intersection(A, B)))",6449
1822,"and(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",815
1823,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(A), B)), index(cardinality(difference(A, A)), difference(A, B)))",6098
1824,"and(or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",1061
1825,"or(or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3942
1826,"and(subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",2587
1827,"subset_eq(union(difference(B, A), index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), union(A, B)))",6057
1828,"and(subset_eq(index(cardinality(A), union(A, B)), difference(B, A)), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",2557
1829,"subset_eq(union(intersection(A, B), index(cardinality(B), A)), difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))))",5768
1830,"and(or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",1578
1831,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), difference(union(A, B), index(cardinality(A), B)))",6628
1832,"subset_eq(B, index(cardinality(difference(A, A)), B))",5263
1833,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), difference(difference(B, A), index(cardinality(A), difference(B, A))))",6147
1834,"subset_eq(index(cardinality(difference(B, A)), difference(A, B)), index(cardinality(intersection(A, B)), union(A, B)))",9267
1835,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), difference(A, B)))",7772
1836,"subset_eq(difference(B, index(cardinality(A), B)), index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))))",7358
1837,"subset_eq(intersection(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), A))",7230
1838,"subset_eq(intersection(B, index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), B))",7006
1839,"subset_eq(index(cardinality(B), union(A, B)), difference(B, index(cardinality(A), B)))",5445
1840,"subset_eq(index(cardinality(difference(B, A)), A), index(cardinality(A), B))",5573
1841,"subset_eq(union(intersection(A, B), index(cardinality(B), union(A, B))), intersection(B, index(cardinality(B), A)))",1950
1842,"or(subset_eq(index(cardinality(A), union(A, B)), B), subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B))))",4769
1843,"and(or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B))), subset_eq(intersection(A, B), index(cardinality(A), union(A, B))))",1011
1844,"subset_eq(difference(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), B))",7526
1845,"or(and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(A, index(cardinality(A), union(A, B))))",3428
1846,"or(not(or(subset_eq(A, B), subset_eq(B, A))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(A), difference(B, A))))",3255
1847,"subset_eq(intersection(B, index(cardinality(A), union(A, B))), intersection(A, index(cardinality(B), union(A, B))))",6961
1848,"and(or(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(index(cardinality(B), A), B))",877
1849,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))))",7968
1850,"subset_eq(index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))), index(cardinality(A), union(A, B)))",5624
1851,"subset_eq(difference(index(cardinality(B), union(A, B)), A), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",7125
1852,"and(not(and(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",1208
1853,"or(or(subset_eq(B, A), not(subset_eq(A, B))), greater_than(cardinality(A), cardinality(difference(B, A))))",3697
1854,"subset_eq(difference(intersection(A, B), index(cardinality(A), B)), index(cardinality(intersection(A, B)), A))",7467
1855,"subset_eq(index(cardinality(intersection(A, B)), B), index(cardinality(B), A))",1021
1856,"or(subset_eq(A, index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), difference(B, A)))",4136
1857,"subset_eq(index(cardinality(intersection(A, B)), difference(A, B)), index(cardinality(difference(A, A)), union(A, B)))",8896
1858,"and(not(subset_eq(B, difference(A, A))), subset_eq(difference(B, A), index(cardinality(B), union(A, B))))",1807
1859,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",1430
1860,"or(or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(B), union(A, B))))",3901
1861,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), intersection(A, B)))",6788
1862,"and(and(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(A, index(cardinality(A), union(A, B))))",570
1863,"subset_eq(index(cardinality(difference(A, B)), B), union(index(cardinality(A), B), index(cardinality(A), union(A, B))))",8650
1864,"or(equals(cardinality(A), cardinality(B)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3108
1865,"or(subset_eq(index(cardinality(B), union(A, B)), B), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",4826
1866,"or(or(subset_eq(B, A), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",3713
1867,"subset_eq(index(cardinality(intersection(A, B)), A), difference(B, index(cardinality(B), union(A, B))))",8414
1868,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), B)), difference(index(cardinality(A), union(A, B)), B))",8070
1869,"subset_eq(index(cardinality(B), union(A, B)), index(cardinality(difference(A, A)), A))",5468
1870,"subset_eq(index(cardinality(intersection(A, B)), difference(A, B)), index(cardinality(intersection(A, B)), A))",8892
1871,"or(subset_eq(intersection(A, B), index(cardinality(A), B)), greater_than(cardinality(difference(A, B)), cardinality(B)))",4374
1872,"and(not(subset_eq(A, difference(A, B))), subset_eq(difference(A, B), index(cardinality(A), union(A, B))))",1755
1873,"subset_eq(intersection(B, index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), B))",7007
1874,"and(or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A))), subset_eq(intersection(A, B), index(cardinality(A), B)))",1043
1875,"subset_eq(index(cardinality(intersection(A, B)), union(A, B)), index(cardinality(difference(B, A)), A))",8860
1876,"subset_eq(index(cardinality(B), A), index(cardinality(difference(B, A)), difference(A, B)))",5386
