index,term_expression,original_index
203,"or(subset_eq(B, index(cardinality(B), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4321
204,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), index(cardinality(intersection(A, B)), difference(B, A)))",6598
205,"and(or(not(subset_eq(A, B)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",1268
206,"subset_eq(index(cardinality(B), A), index(cardinality(difference(A, A)), A))",3031
207,"and(or(or(subset_eq(A, B), subset_eq(B, A)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), A), difference(A, B)))",1152
208,"subset_eq(difference(index(cardinality(B), union(A, B)), intersection(A, B)), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",7195
209,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, B)), A))",8223
210,"subset_eq(index(cardinality(difference(B, A)), difference(A, B)), index(cardinality(difference(A, B)), union(A, B)))",9268
211,"and(not(subset_eq(B, difference(A, A))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",1838
212,"and(subset_eq(index(cardinality(A), B), A), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",2205
213,"subset_eq(intersection(A, B), index(cardinality(difference(A, A)), A))",5279
214,"subset_eq(index(cardinality(difference(B, A)), A), B)",5506
215,"or(subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)), greater_than(cardinality(A), cardinality(difference(B, A))))",4942
216,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))), difference(A, index(cardinality(A), union(A, B))))",6757
217,"or(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",4490
218,"or(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",4592
219,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(difference(A, A)), A))",9435
220,"subset_eq(index(cardinality(difference(A, A)), A), difference(A, index(cardinality(A), B)))",8513
221,"subset_eq(index(cardinality(intersection(A, B)), A), index(cardinality(difference(B, A)), B))",8430
222,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",3595
223,"subset_eq(index(cardinality(intersection(A, B)), difference(B, A)), index(cardinality(difference(A, B)), difference(B, A)))",8926
224,"and(or(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",1394
225,"and(subset_eq(index(cardinality(A), B), A), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A)))",2194
226,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(intersection(A, B), index(cardinality(A), B)))",630
227,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), intersection(A, B)))",8008
228,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), intersection(A, B)))",8276
229,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), difference(difference(A, B), index(cardinality(B), A)))",6158
230,"subset_eq(index(cardinality(intersection(A, B)), B), difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",8477
231,"or(or(subset_eq(B, A), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(B), union(A, B)), difference(B, A)))",3711
232,"subset_eq(index(cardinality(A), B), difference(B, index(cardinality(A), union(A, B))))",5344
233,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), difference(intersection(A, B), index(cardinality(A), B)))",8252
234,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(B), A)), index(cardinality(difference(A, A)), difference(B, A)))",8144
235,"or(and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))))",3454
236,"or(subset_eq(B, A), or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B))))",2863
