expression,force,flavor,can_express,polarity,register,syntactically_negated,full_form,notes
saamaat... dai,strong,teleological,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak necessity,teleological,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,teleological,1,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,circumstantial,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,circumstantial,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,bouletic,?,negative,formal,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,epistemic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,epistemic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,epistemic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,deontic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,deontic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,deontic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,teleological,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,teleological,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,teleological,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,circumstantial,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,circumstantial,1,negative,formal,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,bouletic,?,negative,formal,yes,mai saamaat... dai,negation on modal verb
Harm,strong,epistemic,0,negative,formal,no (?),harm,
Harm,weak necessity,epistemic,?,negative,formal,no,harm,
Harm,weak,epistemic,?,negative,formal,no,harm,
Harm,strong,deontic,?,negative,formal,no,harm,
Harm,weak necessity,deontic,?,negative,formal,no,harm,
Harm,weak,deontic,1,negative,formal,no,harm,
Harm,strong,teleological,?,negative,formal,no,harm,
Harm,weak necessity,teleological,?,negative,formal,no,harm,
Harm,weak,teleological,1,negative,formal,no,harm,
Harm,strong,circumstantial,?,negative,formal,no,harm,
Harm,weak,circumstantial,0,negative,formal,no,harm,
Harm,strong,bouletic,?,negative,formal,no,harm,
Aat ca,strong,epistemic,1,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak necessity,epistemic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak,epistemic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,strong,deontic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak necessity,deontic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak,deontic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
