expression,force,flavor,can_express,lexical,polarity,syntactically_negated,full_form,notes
Aat ca,strong,teleological,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,weak necessity,teleological,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,weak,teleological,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,strong,circumstantial,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,weak,circumstantial,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,strong,bouletic,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Jambpen,strong,epistemic,?,,negative,yes,Mai jambpen,
Jambpen,weak necessity,epistemic,?,,negative,yes,Mai jambpen,
Jambpen,weak,epistemic,?,,negative,yes,Mai jambpen,
Jambpen,strong,deontic,1,,negative,yes,Mai jambpen,
Jambpen,weak necessity,deontic,?,,negative,yes,Mai jambpen,
Jambpen,weak,deontic,?,,negative,yes,Mai jambpen,
Jambpen,strong,teleological,1,,negative,yes,Mai jambpen,
Jambpen,weak necessity,teleological,?,,negative,yes,Mai jambpen,
Jambpen,weak,teleological,?,,negative,yes,Mai jambpen,
Jambpen,strong,circumstantial,?,,negative,yes,Mai jambpen,
Jambpen,weak,circumstantial,?,,negative,yes,Mai jambpen,
Jambpen,strong,bouletic,?,,negative,yes,Mai jambpen,
Jambpen dong,strong,epistemic,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,weak necessity,epistemic,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,weak,epistemic,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,strong,deontic,1,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,weak necessity,deontic,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,weak,deontic,0,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,strong,teleological,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,weak necessity,teleological,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,weak,teleological,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,strong,circumstantial,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,weak,circumstantial,?,FALSE,negative,yes,Mai jambpen dong,
Jambpen dong,strong,bouletic,?,FALSE,negative,yes,Mai jambpen dong,
Dong,strong,epistemic,?,,negative,yes,Mai dong,
Dong,weak necessity,epistemic,?,,negative,yes,Mai dong,
Dong,weak,epistemic,?,,negative,yes,Mai dong,
Dong,strong,deontic,?,,negative,yes,Mai dong,
Dong,weak necessity,deontic,?,,negative,yes,Mai dong,
Dong,weak,deontic,?,,negative,yes,Mai dong,
Dong,strong,teleological,1,,negative,yes,Mai dong,
Dong,weak necessity,teleological,?,,negative,yes,Mai dong,
Dong,weak,teleological,?,,negative,yes,Mai dong,
Dong,strong,circumstantial,1,,negative,yes,Mai dong,
Dong,weak,circumstantial,?,,negative,yes,Mai dong,
Dong,strong,bouletic,?,,negative,yes,Mai dong,
Dong jambpen,strong,epistemic,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,weak necessity,epistemic,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,weak,epistemic,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,strong,deontic,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,weak necessity,deontic,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,weak,deontic,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,strong,teleological,1,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,weak necessity,teleological,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,weak,teleological,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,strong,circumstantial,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,weak,circumstantial,?,FALSE,negative,yes,Mai dong jambpen,
Dong jambpen,strong,bouletic,?,FALSE,negative,yes,Mai dong jambpen,
