,expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
187,duam-la-CONJ V*-a-...,weak,teleological,?,negative,high,duam-la-CONJ V*-a-...,
188,duam-la-CONJ V*-a-...,strong,circumstantial,?,negative,high,duam-la-CONJ V*-a-...,
189,duam-la-CONJ V*-a-...,weak,circumstantial,?,negative,high,duam-la-CONJ V*-a-...,
190,duam-la-CONJ V*-a-...,strong,bouletic,?,negative,high,duam-la-CONJ V*-a-...,
191,pepi-V*-la-a-CONJ,strong,epistemic,?,negative,high,pepi-V*-la-a-CONJ,
192,pepi-V*-la-a-CONJ,weak necessity,epistemic,?,negative,high,pepi-V*-la-a-CONJ,
193,pepi-V*-la-a-CONJ,weak,epistemic,?,negative,high,pepi-V*-la-a-CONJ,
194,pepi-V*-la-a-CONJ,strong,deontic,?,negative,high,pepi-V*-la-a-CONJ,
195,pepi-V*-la-a-CONJ,weak necessity,deontic,?,negative,high,pepi-V*-la-a-CONJ,
196,pepi-V*-la-a-CONJ,weak,deontic,?,negative,high,pepi-V*-la-a-CONJ,
197,pepi-V*-la-a-CONJ,weak,deontic,1,negative,high,pepi-V*-la-a-CONJ,
198,pepi-V*-la-a-CONJ,strong,teleological,?,negative,high,pepi-V*-la-a-CONJ,
199,pepi-V*-la-a-CONJ,weak necessity,teleological,?,negative,high,pepi-V*-la-a-CONJ,
200,pepi-V*-la-a-CONJ,weak,teleological,?,negative,high,pepi-V*-la-a-CONJ,
201,pepi-V*-la-a-CONJ,weak,teleological,1,negative,high,pepi-V*-la-a-CONJ,
202,pepi-V*-la-a-CONJ,strong,circumstantial,?,negative,high,pepi-V*-la-a-CONJ,
203,pepi-V*-la-a-CONJ,weak,circumstantial,?,negative,high,pepi-V*-la-a-CONJ,
204,pepi-V*-la-a-CONJ,strong,bouletic,?,negative,high,pepi-V*-la-a-CONJ,
205,pepi-V*-la-(yafu)-CONJ,strong,epistemic,?,negative,high,pepi-V*-la-(yafu)-CONJ,
206,pepi-V*-la-(yafu)-CONJ,weak necessity,epistemic,?,negative,high,pepi-V*-la-(yafu)-CONJ,
207,pepi-V*-la-(yafu)-CONJ,weak,epistemic,?,negative,high,pepi-V*-la-(yafu)-CONJ,
208,pepi-V*-la-(yafu)-CONJ,strong,deontic,?,negative,high,pepi-V*-la-(yafu)-CONJ,
209,pepi-V*-la-(yafu)-CONJ,weak necessity,deontic,?,negative,high,pepi-V*-la-(yafu)-CONJ,
210,pepi-V*-la-(yafu)-CONJ,weak,deontic,?,negative,high,pepi-V*-la-(yafu)-CONJ,
211,pepi-V*-la-(yafu)-CONJ,weak,deontic,?,negative,high,pepi-V*-la-(yafu)-CONJ,
212,pepi-V*-la-(yafu)-CONJ,strong,teleological,?,negative,high,pepi-V*-la-(yafu)-CONJ,
213,pepi-V*-la-(yafu)-CONJ,weak necessity,teleological,?,negative,high,pepi-V*-la-(yafu)-CONJ,
214,pepi-V*-la-(yafu)-CONJ,weak,teleological,?,negative,high,pepi-V*-la-(yafu)-CONJ,
215,pepi-V*-la-(yafu)-CONJ,weak,teleological,?,negative,high,pepi-V*-la-(yafu)-CONJ,
216,pepi-V*-la-(yafu)-CONJ,strong,circumstantial,?,negative,high,pepi-V*-la-(yafu)-CONJ,
217,pepi-V*-la-(yafu)-CONJ,weak,circumstantial,1,negative,high,pepi-V*-la-(yafu)-CONJ,
218,pepi-V*-la-(yafu)-CONJ,strong,bouletic,?,negative,high,pepi-V*-la-(yafu)-CONJ,
